compression,streams,checkpoint_time,restore_time,total_time,timestamp,run_number
none,0,3.58,2.85,6.43,2026-03-03T16:24:15+00:00,1
none,2,3.16,2.91,6.07,2026-03-03T16:24:26+00:00,1
none,4,3.52,2.81,6.33,2026-03-03T16:24:37+00:00,1
none,8,3.88,3.15,7.03,2026-03-03T16:24:48+00:00,1
tar,0,4.55,3.26,7.81,2026-03-03T16:25:01+00:00,1
tar,2,3.67,3.33,7.00,2026-03-03T16:25:12+00:00,1
tar,4,3.62,2.69,6.31,2026-03-03T16:25:23+00:00,1
tar,8,3.75,3.12,6.87,2026-03-03T16:25:35+00:00,1
gzip,0,3.03,1.53,4.56,2026-03-03T16:25:44+00:00,1
gzip,2,2.45,1.43,3.88,2026-03-03T16:25:53+00:00,1
gzip,4,1.68,1.52,3.20,2026-03-03T16:26:00+00:00,1
gzip,8,1.82,1.87,3.69,2026-03-03T16:26:09+00:00,1
lz4,0,1.43,2.67,4.10,2026-03-03T16:26:17+00:00,1
lz4,2,1.14,2.02,3.16,2026-03-03T16:26:25+00:00,1
lz4,4,1.16,1.79,2.95,2026-03-03T16:26:33+00:00,1
lz4,8,1.44,2.08,3.52,2026-03-03T16:26:41+00:00,1
zlib,0,2.71,1.65,4.36,2026-03-03T16:26:50+00:00,1
zlib,2,2.93,1.47,4.40,2026-03-03T16:26:59+00:00,1
zlib,4,1.70,1.54,3.24,2026-03-03T16:27:07+00:00,1
zlib,8,1.82,1.89,3.71,2026-03-03T16:27:15+00:00,1
none,0,3.54,2.70,6.24,2026-03-03T16:27:26+00:00,2
none,2,4.53,2.88,7.41,2026-03-03T16:27:38+00:00,2
none,4,3.29,2.39,5.68,2026-03-03T16:27:48+00:00,2
none,8,3.71,2.95,6.66,2026-03-03T16:27:59+00:00,2
tar,0,3.44,3.82,7.26,2026-03-03T16:28:11+00:00,2
tar,2,4.43,2.49,6.92,2026-03-03T16:28:23+00:00,2
tar,4,3.39,2.55,5.94,2026-03-03T16:28:33+00:00,2
tar,8,3.65,3.23,6.88,2026-03-03T16:28:45+00:00,2
gzip,0,3.04,1.50,4.54,2026-03-03T16:28:54+00:00,2
gzip,2,2.35,1.47,3.82,2026-03-03T16:29:03+00:00,2
gzip,4,1.70,1.53,3.23,2026-03-03T16:29:10+00:00,2
gzip,8,1.76,1.86,3.62,2026-03-03T16:29:19+00:00,2
lz4,0,1.46,2.65,4.11,2026-03-03T16:29:27+00:00,2
lz4,2,1.18,2.03,3.21,2026-03-03T16:29:35+00:00,2
lz4,4,1.15,1.81,2.96,2026-03-03T16:29:43+00:00,2
lz4,8,1.49,1.96,3.45,2026-03-03T16:29:51+00:00,2
zlib,0,2.72,1.62,4.34,2026-03-03T16:30:00+00:00,2
zlib,2,2.53,1.41,3.94,2026-03-03T16:30:08+00:00,2
zlib,4,1.58,1.52,3.10,2026-03-03T16:30:16+00:00,2
zlib,8,1.78,1.90,3.68,2026-03-03T16:30:24+00:00,2
none,0,3.75,3.05,6.80,2026-03-03T16:30:36+00:00,3
none,2,3.80,3.28,7.08,2026-03-03T16:30:48+00:00,3
none,4,3.43,3.04,6.47,2026-03-03T16:30:59+00:00,3
none,8,3.76,2.99,6.75,2026-03-03T16:31:10+00:00,3
tar,0,4.28,3.01,7.29,2026-03-03T16:31:22+00:00,3
tar,2,4.71,3.10,7.81,2026-03-03T16:31:34+00:00,3
tar,4,3.30,2.54,5.84,2026-03-03T16:31:45+00:00,3
tar,8,3.92,3.04,6.96,2026-03-03T16:31:56+00:00,3
gzip,0,2.63,1.55,4.18,2026-03-03T16:32:05+00:00,3
gzip,2,2.45,1.44,3.89,2026-03-03T16:32:14+00:00,3
gzip,4,1.58,1.54,3.12,2026-03-03T16:32:22+00:00,3
gzip,8,1.78,1.84,3.62,2026-03-03T16:32:30+00:00,3
lz4,0,1.47,2.64,4.11,2026-03-03T16:32:39+00:00,3
lz4,2,1.17,1.96,3.13,2026-03-03T16:32:46+00:00,3
lz4,4,1.12,2.01,3.13,2026-03-03T16:32:54+00:00,3
lz4,8,1.48,2.12,3.60,2026-03-03T16:33:02+00:00,3
zlib,0,2.70,1.64,4.34,2026-03-03T16:33:11+00:00,3
zlib,2,2.59,1.43,4.02,2026-03-03T16:33:20+00:00,3
zlib,4,1.67,1.58,3.25,2026-03-03T16:33:28+00:00,3
zlib,8,1.81,1.89,3.70,2026-03-03T16:33:36+00:00,3
